id	group	file
C51	C	/gpfs/projects/bsc08/bsc08890/data/GSE145926_RAW/GSM4475048_C51_filtered_feature_bc_matrix.h5
C52	C	/gpfs/projects/bsc08/bsc08890/data/GSE145926_RAW/GSM4475049_C52_filtered_feature_bc_matrix.h5
C100	C	/gpfs/projects/bsc08/bsc08890/data/GSE145926_RAW/GSM4475050_C100_filtered_feature_bc_matrix.h5
C141	M	/gpfs/projects/bsc08/bsc08890/data/GSE145926_RAW/GSM4339769_C141_filtered_feature_bc_matrix.h5
C142	M	/gpfs/projects/bsc08/bsc08890/data/GSE145926_RAW/GSM4339770_C142_filtered_feature_bc_matrix.h5
C144	M	/gpfs/projects/bsc08/bsc08890/data/GSE145926_RAW/GSM4339772_C144_filtered_feature_bc_matrix.h5
C143	S	/gpfs/projects/bsc08/bsc08890/data/GSE145926_RAW/GSM4339771_C143_filtered_feature_bc_matrix.h5
C145	S	/gpfs/projects/bsc08/bsc08890/data/GSE145926_RAW/GSM4339773_C145_filtered_feature_bc_matrix.h5
C146	S	/gpfs/projects/bsc08/bsc08890/data/GSE145926_RAW/GSM4339774_C146_filtered_feature_bc_matrix.h5
C148	S	/gpfs/projects/bsc08/bsc08890/data/GSE145926_RAW/GSM4475051_C148_filtered_feature_bc_matrix.h5
C149	S	/gpfs/projects/bsc08/bsc08890/data/GSE145926_RAW/GSM4475052_C149_filtered_feature_bc_matrix.h5
C152	S	/gpfs/projects/bsc08/bsc08890/data/GSE145926_RAW/GSM4475053_C152_filtered_feature_bc_matrix.h5
